epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2809,1.33755,2.77321,1.5192,0.1252,0.23139,0.11379,0.06256,2.3699,9.80659,3.01543,0.000249213,0.000249213,0.000249213
2,56.8178,1.50217,2.41612,1.62831,0.06385,0.37975,0.044,0.02061,2.53299,inf,12.1794,0.000497205,0.000497205,0.000497205
3,81.0181,1.52031,2.44663,1.64557,0.12122,0.10334,0.00936,0.00267,nan,nan,nan,0.000736738,0.000736738,0.000736738
4,105.517,1.61572,2.48129,1.68844,0.08176,0.21215,0.0742,0.03613,1.97892,8.49435,2.64898,0.000730935,0.000730935,0.000730935
5,129.237,1.51017,2.363,1.65582,0.46846,0.07188,0.05239,0.02359,2.95573,9.6026,3.26471,0.000718246,0.000718246,0.000718246
6,153.521,1.46125,2.27003,1.61752,0.20041,0.25734,0.15814,0.08652,1.77826,3.41176,2.13121,0.000705558,0.000705558,0.000705558
7,187.262,1.40762,2.20023,1.5657,0.30701,0.30979,0.23767,0.12226,1.66175,3.48451,2.10153,0.000692869,0.000692869,0.000692869
8,213.032,1.37302,2.20075,1.53605,0.39186,0.30752,0.27341,0.14613,1.45207,4.22543,1.85556,0.000680181,0.000680181,0.000680181
9,247.288,1.32601,2.06771,1.51608,0.4701,0.29634,0.29337,0.16909,1.44101,2.50406,1.82647,0.000667492,0.000667492,0.000667492
10,276.777,1.34584,2.04561,1.5135,0.26319,0.30195,0.21172,0.13498,1.41084,3.00892,1.70359,0.000654804,0.000654804,0.000654804
11,300.69,1.28221,1.99932,1.49485,0.4057,0.44386,0.38944,0.24924,1.21814,2.73401,1.58682,0.000642115,0.000642115,0.000642115
12,328.248,1.23147,1.97741,1.46023,0.2284,0.44964,0.25266,0.16139,1.42851,2.52397,1.78679,0.000629427,0.000629427,0.000629427
13,353.11,1.2628,1.96762,1.46664,0.43147,0.43947,0.43997,0.28967,1.11009,2.23689,1.47004,0.000616738,0.000616738,0.000616738
14,382.356,1.20737,1.89307,1.446,0.3731,0.44871,0.35202,0.23975,1.1594,2.24955,1.51639,0.00060405,0.00060405,0.00060405
15,406.723,1.16827,1.79621,1.40234,0.52627,0.45524,0.51119,0.34672,1.11923,2.28277,1.50538,0.000591361,0.000591361,0.000591361
16,433.627,1.2101,1.79849,1.42327,0.42203,0.44459,0.38268,0.24613,1.22127,2.23033,1.5906,0.000578672,0.000578672,0.000578672
17,460.54,1.21153,1.80208,1.43193,0.44285,0.45442,0.39329,0.25611,1.13521,2.16496,1.45601,0.000565984,0.000565984,0.000565984
18,483.775,1.15569,1.68488,1.37281,0.44617,0.49473,0.4808,0.34013,1.05263,1.84801,1.41921,0.000553296,0.000553296,0.000553296
19,507.841,1.10345,1.62637,1.36225,0.55558,0.51082,0.55038,0.37995,1.02884,1.66068,1.40555,0.000540607,0.000540607,0.000540607
20,535.565,1.07992,1.60099,1.33859,0.7159,0.501,0.62312,0.43337,1.02204,1.638,1.38535,0.000527919,0.000527919,0.000527919
21,561.09,1.09343,1.59948,1.34449,0.58404,0.54851,0.54237,0.38688,0.97398,1.74491,1.35185,0.00051523,0.00051523,0.00051523
22,585.144,1.0893,1.4922,1.34615,0.62518,0.52425,0.59649,0.42477,0.9794,1.54775,1.36449,0.000502541,0.000502541,0.000502541
23,609.381,1.05753,1.51807,1.34326,0.66148,0.51036,0.6204,0.43724,1.06119,1.57932,1.4401,0.000489853,0.000489853,0.000489853
24,638.688,0.99177,1.48349,1.29248,0.65995,0.49548,0.61562,0.45578,0.91745,1.59342,1.28356,0.000477165,0.000477165,0.000477165
25,668.706,1.05986,1.50412,1.30705,0.66819,0.55878,0.65324,0.47307,0.91469,1.50747,1.28193,0.000464476,0.000464476,0.000464476
26,700.378,1.00009,1.42632,1.30324,0.61255,0.60003,0.64651,0.47032,0.92837,1.4461,1.31416,0.000451787,0.000451787,0.000451787
27,724.458,0.99704,1.48045,1.28703,0.61404,0.55036,0.63024,0.4515,0.99206,1.53258,1.34627,0.000439099,0.000439099,0.000439099
28,748.616,1.00975,1.39109,1.29236,0.57421,0.56614,0.6081,0.44389,0.94134,1.6189,1.31519,0.000426411,0.000426411,0.000426411
29,782.453,0.9657,1.33076,1.26507,0.6251,0.63031,0.69101,0.50513,0.88625,1.38789,1.26576,0.000413722,0.000413722,0.000413722
30,817.966,0.97013,1.34086,1.26916,0.66167,0.6172,0.65334,0.4739,0.87251,1.45402,1.27698,0.000401033,0.000401033,0.000401033
31,843.315,1.00385,1.33475,1.27453,0.69314,0.59366,0.6723,0.50758,0.88008,1.36997,1.26689,0.000388345,0.000388345,0.000388345
32,876.58,0.94338,1.25552,1.27662,0.66609,0.61933,0.68987,0.51259,0.88743,1.27641,1.25812,0.000375656,0.000375656,0.000375656
33,906.621,0.93714,1.26664,1.26181,0.63399,0.60816,0.69979,0.51702,0.86996,1.29928,1.26378,0.000362968,0.000362968,0.000362968
34,939.463,0.91128,1.23316,1.22536,0.62691,0.68455,0.70176,0.5358,0.84599,1.31146,1.24356,0.00035028,0.00035028,0.00035028
35,968.943,0.93952,1.20257,1.24489,0.70626,0.6559,0.69711,0.51575,0.84111,1.31858,1.21816,0.000337591,0.000337591,0.000337591
36,993.013,0.92968,1.21963,1.24396,0.68385,0.57726,0.67663,0.48676,0.91981,1.33546,1.27433,0.000324903,0.000324903,0.000324903
37,1017.1,0.93718,1.17151,1.24007,0.71187,0.64352,0.6853,0.49735,0.94208,1.47249,1.29241,0.000312214,0.000312214,0.000312214
38,1040.85,0.88897,1.12181,1.21083,0.71118,0.66771,0.71879,0.53427,0.87071,1.25447,1.26193,0.000299525,0.000299525,0.000299525
39,1070.36,0.91275,1.14481,1.2281,0.73481,0.63893,0.70928,0.52951,0.83132,1.35148,1.21918,0.000286837,0.000286837,0.000286837
40,1094.42,0.88318,1.13879,1.23629,0.70632,0.73249,0.75137,0.58369,0.83844,1.16912,1.24486,0.000274148,0.000274148,0.000274148
41,1126.46,0.86143,1.06707,1.19815,0.7386,0.67184,0.73663,0.54392,0.81735,1.24866,1.20986,0.00026146,0.00026146,0.00026146
42,1150.83,0.85703,1.05393,1.1847,0.74463,0.72602,0.7778,0.59398,0.80461,1.0963,1.2065,0.000248772,0.000248772,0.000248772
43,1179.49,0.84014,1.04351,1.18671,0.74485,0.68841,0.73181,0.56222,0.7964,1.2733,1.19185,0.000236083,0.000236083,0.000236083
44,1204,0.84885,1.0404,1.19963,0.71159,0.67843,0.7441,0.57176,0.8104,1.1801,1.19246,0.000223395,0.000223395,0.000223395
45,1228.17,0.82278,0.97896,1.17162,0.73609,0.72213,0.77338,0.59082,0.80491,1.08729,1.20067,0.000210706,0.000210706,0.000210706
46,1252.74,0.84428,0.97767,1.19427,0.74879,0.65792,0.72691,0.56281,0.78059,1.19407,1.17169,0.000198018,0.000198018,0.000198018
47,1279.83,0.805,0.96648,1.17605,0.72672,0.71529,0.77394,0.59949,0.80407,1.14808,1.21659,0.000185329,0.000185329,0.000185329
48,1307.56,0.79531,0.9566,1.18103,0.74865,0.68674,0.77091,0.59024,0.81596,1.10752,1.20003,0.000172641,0.000172641,0.000172641
49,1333.37,0.79581,0.92609,1.16054,0.75508,0.71147,0.7853,0.62422,0.73077,1.14129,1.14519,0.000159952,0.000159952,0.000159952
50,1366.58,0.76052,0.8923,1.14024,0.81008,0.72215,0.81182,0.62853,0.77022,1.03786,1.16829,0.000147264,0.000147264,0.000147264
51,1394.01,0.64127,0.67517,1.10794,0.73219,0.75144,0.78569,0.61035,0.78937,1.13791,1.18093,0.000134575,0.000134575,0.000134575
52,1418.21,0.60683,0.59814,1.07414,0.76992,0.64395,0.75603,0.59087,0.77297,1.20481,1.17571,0.000121887,0.000121887,0.000121887
53,1444.11,0.60012,0.59575,1.06861,0.84678,0.65683,0.77703,0.61257,0.75876,1.12382,1.17114,0.000109198,0.000109198,0.000109198
54,1468.1,0.59304,0.57804,1.07752,0.83016,0.72489,0.79552,0.63161,0.72241,1.06697,1.14485,9.65095e-05,9.65095e-05,9.65095e-05
55,1495.85,0.5666,0.54387,1.02993,0.77493,0.72625,0.78877,0.63097,0.70994,1.08402,1.12883,8.3821e-05,8.3821e-05,8.3821e-05
56,1523.24,0.56919,0.53091,1.04755,0.83024,0.70578,0.78687,0.63006,0.71612,1.09294,1.13824,7.11325e-05,7.11325e-05,7.11325e-05
57,1547.55,0.56057,0.53482,1.05198,0.81628,0.69548,0.80148,0.64715,0.72052,1.0736,1.13037,5.8444e-05,5.8444e-05,5.8444e-05
58,1575.3,0.54046,0.50457,1.04438,0.82334,0.69762,0.80615,0.65257,0.6997,1.03188,1.11932,4.57555e-05,4.57555e-05,4.57555e-05
59,1608.07,0.53709,0.48295,1.02558,0.84278,0.69351,0.8153,0.65891,0.70029,1.0271,1.12656,3.3067e-05,3.3067e-05,3.3067e-05
60,1637.4,0.52977,0.49061,1.02958,0.81534,0.71585,0.81605,0.65734,0.69908,1.01464,1.12778,2.03785e-05,2.03785e-05,2.03785e-05
